total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid class id,rDHpS < vPDHpS,improv.< minDiff,improv.< diffRatio * vPDHpS,Final Miss Ratio,minDiff,diffRatio,minSlabs,numSlabsFreeMem,minLTA,maxLTA
247,232,1,0,13,0,0,0,0,0.06243500000000002,50,0.200000,1,3,0,0
269,253,1,0,14,0,0,0,0,0.06160100000000002,90,0.050000,3,5,0,0
247,232,1,0,13,0,0,0,0,0.06255299999999997,10,0.050000,5,1,0,0
248,232,1,0,14,0,0,0,0,0.062554,90,0.150000,4,3,0,0
258,242,1,0,14,0,0,0,0,0.06198099999999995,60,0.100000,5,4,0,0
246,231,1,0,13,0,0,0,0,0.062531,20,0.250000,5,5,0,0
246,231,1,0,13,0,0,0,0,0.06259499999999996,80,0.200000,2,3,0,0
247,232,1,0,13,0,0,0,0,0.06244899999999998,10,0.250000,2,2,0,0
244,229,1,0,13,0,0,0,0,0.06257999999999997,80,0.250000,3,5,0,0
245,229,1,0,14,0,0,0,0,0.06269599999999997,70,0.150000,5,4,0,0
249,234,1,0,13,0,0,0,0,0.06229899999999999,20,0.050000,4,3,0,0
255,239,1,0,14,0,0,0,0,0.06228199999999995,50,0.100000,4,4,0,0
246,230,1,0,14,0,0,0,0,0.06263099999999999,70,0.200000,1,2,0,0
245,230,1,0,13,0,0,0,0,0.06260100000000002,20,0.250000,1,3,0,0
254,238,1,0,14,0,0,0,0,0.06222700000000003,40,0.200000,5,4,0,0
243,228,1,0,13,0,0,0,0,0.06270699999999996,60,0.150000,2,2,0,0
255,239,1,0,14,0,0,0,0,0.062153000000000014,80,0.050000,3,1,0,0
249,234,1,0,13,0,0,0,0,0.062231999999999954,40,0.250000,2,5,0,0
247,232,1,0,13,0,0,0,0,0.06242800000000004,50,0.050000,3,1,0,0
249,233,1,0,14,0,0,0,0,0.062478000000000034,50,0.100000,4,1,0,0
253,237,1,0,14,0,0,0,0,0.062238000000000016,70,0.200000,4,5,0,0
261,245,1,0,14,0,0,0,0,0.06186599999999998,10,0.150000,5,4,0,0
252,236,1,0,14,0,0,0,0,0.06235199999999996,40,0.150000,3,2,0,0
252,236,1,0,14,0,0,0,0,0.062338000000000005,100,0.150000,5,3,0,0
263,246,1,0,15,0,0,0,0,0.061821000000000015,70,0.050000,5,1,0,0
268,252,1,0,14,0,0,0,0,0.061522999999999994,30,0.250000,1,5,0,0
246,231,1,0,13,0,0,0,0,0.06252999999999997,10,0.050000,5,5,0,0
246,231,1,0,13,0,0,0,0,0.06253900000000001,50,0.150000,3,3,0,0
261,244,1,0,15,0,0,0,0,0.06193000000000004,70,0.200000,4,1,0,0
245,230,1,0,13,0,0,0,0,0.06257400000000002,100,0.050000,4,1,0,0
247,232,1,0,13,0,0,0,0,0.06253399999999998,40,0.250000,2,3,0,0
260,244,1,0,14,0,0,0,0,0.061840000000000006,70,0.150000,5,3,0,0
253,237,1,0,14,0,0,0,0,0.06222300000000003,40,0.100000,3,5,0,0
265,249,1,0,14,0,0,0,0,0.06169400000000003,100,0.050000,5,5,0,0
259,243,1,0,14,0,0,0,0,0.061921000000000004,50,0.250000,2,4,0,0
263,247,1,0,14,0,0,0,0,0.06172999999999995,80,0.250000,2,4,0,0
244,229,1,0,13,0,0,0,0,0.06267800000000001,20,0.150000,5,2,0,0
248,232,1,0,14,0,0,0,0,0.06254800000000005,30,0.200000,3,2,0,0
247,232,1,0,13,0,0,0,0,0.06254700000000002,40,0.050000,4,3,0,0
246,231,1,0,13,0,0,0,0,0.06253699999999995,90,0.050000,2,2,0,0
244,229,1,0,13,0,0,0,0,0.06257999999999997,90,0.050000,4,1,0,0
248,232,1,0,14,0,0,0,0,0.062527,80,0.150000,2,2,0,0
247,232,1,0,13,0,0,0,0,0.062419,100,0.150000,5,1,0,0
252,237,1,0,13,0,0,0,0,0.06230199999999997,50,0.050000,2,1,0,0
246,231,1,0,13,0,0,0,0,0.062554,20,0.250000,4,3,0,0
245,230,1,0,13,0,0,0,0,0.06261399999999995,10,0.200000,1,5,0,0
247,232,1,0,13,0,0,0,0,0.062469,100,0.250000,3,2,0,0
246,230,1,0,14,0,0,0,0,0.06267599999999995,30,0.250000,2,5,0,0
244,229,1,0,13,0,0,0,0,0.062612,80,0.050000,3,5,0,0
247,231,1,0,14,0,0,0,0,0.06254899999999997,70,0.100000,4,3,0,0
247,231,1,0,14,0,0,0,0,0.06255699999999997,50,0.100000,2,4,0,0
251,236,1,0,13,0,0,0,0,0.06221600000000005,70,0.250000,3,4,0,0
258,242,1,0,14,0,0,0,0,0.06206699999999998,20,0.200000,5,1,0,0
246,230,1,0,14,0,0,0,0,0.06261099999999997,20,0.100000,2,4,0,0
257,241,1,0,14,0,0,0,0,0.062087,50,0.200000,4,5,0,0
250,235,1,0,13,0,0,0,0,0.06221699999999997,70,0.250000,5,5,0,0
247,232,1,0,13,0,0,0,0,0.06252800000000003,50,0.150000,4,4,0,0
264,247,1,0,15,0,0,0,0,0.06176999999999999,60,0.100000,3,4,0,0
266,250,1,0,14,0,0,0,0,0.06164000000000003,50,0.050000,2,2,0,0
258,242,1,0,14,0,0,0,0,0.06193800000000005,50,0.150000,5,3,0,0
249,233,1,0,14,0,0,0,0,0.06251399999999996,70,0.250000,4,5,0,0
261,244,1,0,15,0,0,0,0,0.061892999999999976,30,0.100000,1,2,0,0
260,244,1,0,14,0,0,0,0,0.06186499999999995,50,0.250000,2,2,0,0
247,232,1,0,13,0,0,0,0,0.06244000000000005,40,0.200000,4,3,0,0
246,231,1,0,13,0,0,0,0,0.06257000000000001,80,0.250000,1,2,0,0
245,230,1,0,13,0,0,0,0,0.062608,30,0.200000,4,4,0,0
267,250,1,0,15,0,0,0,0,0.06155900000000003,90,0.100000,2,3,0,0
263,247,1,0,14,0,0,0,0,0.061822000000000044,10,0.250000,1,2,0,0
249,234,1,0,13,0,0,0,0,0.062277999999999945,50,0.100000,2,3,0,0
248,232,1,0,14,0,0,0,0,0.06251200000000001,90,0.150000,5,2,0,0
268,251,1,0,15,0,0,0,0,0.06167100000000003,60,0.200000,2,4,0,0
247,231,1,0,14,0,0,0,0,0.062495999999999996,100,0.050000,5,4,0,0
253,238,1,0,13,0,0,0,0,0.062170999999999976,10,0.200000,5,1,0,0
269,253,1,0,14,0,0,0,0,0.061442,20,0.250000,1,2,0,0
246,231,1,0,13,0,0,0,0,0.06254099999999996,30,0.200000,4,2,0,0
255,239,1,0,14,0,0,0,0,0.06216299999999997,20,0.150000,1,2,0,0
254,239,1,0,13,0,0,0,0,0.062145000000000006,90,0.250000,5,5,0,0
249,233,1,0,14,0,0,0,0,0.062562,20,0.250000,4,4,0,0
245,230,1,0,13,0,0,0,0,0.06258200000000003,80,0.250000,2,2,0,0
247,231,1,0,14,0,0,0,0,0.06255500000000003,90,0.100000,5,3,0,0
248,233,1,0,13,0,0,0,0,0.06245500000000004,40,0.050000,4,4,0,0
244,229,1,0,13,0,0,0,0,0.06260299999999996,80,0.150000,5,2,0,0
248,232,1,0,14,0,0,0,0,0.06252999999999997,50,0.100000,3,2,0,0
264,248,1,0,14,0,0,0,0,0.06171300000000002,50,0.200000,2,2,0,0
251,236,1,0,13,0,0,0,0,0.062270999999999965,90,0.150000,5,5,0,0
257,242,1,0,13,0,0,0,0,0.061917,40,0.100000,2,5,0,0
245,229,1,0,14,0,0,0,0,0.06268600000000002,50,0.150000,4,3,0,0
246,231,1,0,13,0,0,0,0,0.06253200000000003,90,0.150000,2,5,0,0
259,243,1,0,14,0,0,0,0,0.061939999999999995,60,0.150000,3,3,0,0
244,229,1,0,13,0,0,0,0,0.06261499999999998,80,0.100000,5,5,0,0
246,231,1,0,13,0,0,0,0,0.06252199999999997,80,0.100000,5,1,0,0
251,235,1,0,14,0,0,0,0,0.06234799999999996,100,0.200000,2,3,0,0
257,241,1,0,14,0,0,0,0,0.062092000000000036,20,0.050000,1,1,0,0
246,231,1,0,13,0,0,0,0,0.06256499999999998,100,0.250000,4,3,0,0
244,229,1,0,13,0,0,0,0,0.06264000000000003,40,0.150000,1,4,0,0
245,230,1,0,13,0,0,0,0,0.062558,10,0.050000,1,4,0,0
252,237,1,0,13,0,0,0,0,0.062250999999999945,30,0.250000,2,1,0,0
249,234,1,0,13,0,0,0,0,0.062446,10,0.050000,3,2,0,0
246,231,1,0,13,0,0,0,0,0.06255299999999997,30,0.150000,1,1,0,0
248,232,1,0,14,0,0,0,0,0.06253299999999995,60,0.150000,2,5,0,0
261,245,1,0,14,0,0,0,0,0.06186599999999998,10,0.200000,2,3,0,0
249,233,1,0,14,0,0,0,0,0.06252000000000002,90,0.250000,5,2,0,0
250,235,1,0,13,0,0,0,0,0.062307,30,0.150000,3,5,0,0
249,233,1,0,14,0,0,0,0,0.062482999999999955,80,0.250000,4,5,0,0
259,243,1,0,14,0,0,0,0,0.06192299999999995,40,0.200000,3,2,0,0
258,242,1,0,14,0,0,0,0,0.06200300000000003,70,0.150000,4,5,0,0
246,231,1,0,13,0,0,0,0,0.06258600000000003,100,0.250000,2,5,0,0
244,229,1,0,13,0,0,0,0,0.06266700000000003,80,0.150000,2,4,0,0
250,234,1,0,14,0,0,0,0,0.06234799999999996,80,0.200000,4,2,0,0
265,249,1,0,14,0,0,0,0,0.06165399999999999,30,0.200000,3,4,0,0
248,232,1,0,14,0,0,0,0,0.06253399999999998,40,0.050000,2,1,0,0
249,234,1,0,13,0,0,0,0,0.062385000000000024,30,0.050000,2,1,0,0
251,236,1,0,13,0,0,0,0,0.062423000000000006,50,0.100000,5,2,0,0
266,250,1,0,14,0,0,0,0,0.061587999999999976,70,0.100000,2,5,0,0
244,229,1,0,13,0,0,0,0,0.06261499999999998,40,0.250000,4,2,0,0
258,242,1,0,14,0,0,0,0,0.06193599999999999,80,0.150000,2,1,0,0
244,229,1,0,13,0,0,0,0,0.06267400000000001,60,0.150000,5,1,0,0
246,231,1,0,13,0,0,0,0,0.06254099999999996,30,0.050000,5,2,0,0
257,241,1,0,14,0,0,0,0,0.06206199999999995,60,0.100000,1,2,0,0
267,250,1,0,15,0,0,0,0,0.06165900000000002,50,0.050000,1,3,0,0
245,229,1,0,14,0,0,0,0,0.06270200000000004,20,0.250000,3,5,0,0
259,243,1,0,14,0,0,0,0,0.061933000000000016,50,0.250000,4,4,0,0
258,242,1,0,14,0,0,0,0,0.06203099999999995,10,0.250000,4,3,0,0
261,245,1,0,14,0,0,0,0,0.06178899999999998,80,0.200000,4,1,0,0
246,231,1,0,13,0,0,0,0,0.06254300000000002,20,0.100000,4,1,0,0
245,230,1,0,13,0,0,0,0,0.06259899999999996,50,0.050000,2,5,0,0
246,230,1,0,14,0,0,0,0,0.06257800000000002,70,0.250000,2,5,0,0
265,249,1,0,14,0,0,0,0,0.06169999999999998,60,0.150000,1,3,0,0
245,230,1,0,13,0,0,0,0,0.06265399999999999,20,0.250000,2,3,0,0
250,235,1,0,13,0,0,0,0,0.06250699999999998,30,0.200000,4,5,0,0
270,253,1,0,15,0,0,0,0,0.061501999999999946,20,0.200000,4,2,0,0
245,230,1,0,13,0,0,0,0,0.062616,10,0.250000,3,3,0,0
244,229,1,0,13,0,0,0,0,0.062643,100,0.200000,5,1,0,0
246,231,1,0,13,0,0,0,0,0.062531,90,0.100000,2,4,0,0
251,236,1,0,13,0,0,0,0,0.06226200000000004,100,0.100000,2,4,0,0
245,230,1,0,13,0,0,0,0,0.06255100000000002,40,0.250000,1,5,0,0
244,229,1,0,13,0,0,0,0,0.06266300000000002,20,0.150000,2,1,0,0
253,238,1,0,13,0,0,0,0,0.06215400000000004,90,0.250000,4,2,0,0
245,230,1,0,13,0,0,0,0,0.06261700000000003,80,0.200000,1,1,0,0
244,229,1,0,13,0,0,0,0,0.06266000000000005,20,0.250000,4,2,0,0
269,253,1,0,14,0,0,0,0,0.061416000000000026,70,0.150000,3,4,0,0
255,240,1,0,13,0,0,0,0,0.062253,10,0.200000,1,2,0,0
248,232,1,0,14,0,0,0,0,0.06255900000000003,30,0.150000,1,2,0,0
251,236,1,0,13,0,0,0,0,0.06228599999999995,10,0.150000,5,2,0,0
246,231,1,0,13,0,0,0,0,0.062581,30,0.200000,4,3,0,0
245,230,1,0,13,0,0,0,0,0.062639,100,0.250000,3,4,0,0
245,230,1,0,13,0,0,0,0,0.06260200000000005,40,0.100000,2,3,0,0
246,231,1,0,13,0,0,0,0,0.06255900000000003,60,0.150000,1,1,0,0
252,237,1,0,13,0,0,0,0,0.06220099999999995,100,0.250000,2,2,0,0
249,233,1,0,14,0,0,0,0,0.06249499999999997,50,0.100000,5,3,0,0
268,252,1,0,14,0,0,0,0,0.061675000000000035,40,0.200000,1,1,0,0
245,230,1,0,13,0,0,0,0,0.06251700000000004,10,0.100000,3,2,0,0
255,240,1,0,13,0,0,0,0,0.06200799999999995,30,0.100000,1,5,0,0
258,241,1,0,15,0,0,0,0,0.06198800000000004,90,0.100000,5,4,0,0
247,232,1,0,13,0,0,0,0,0.062390999999999974,50,0.100000,4,3,0,0
245,230,1,0,13,0,0,0,0,0.06257500000000005,60,0.150000,3,5,0,0
246,230,1,0,14,0,0,0,0,0.06267800000000001,50,0.050000,4,2,0,0
251,235,1,0,14,0,0,0,0,0.06235299999999999,10,0.100000,5,5,0,0
255,239,1,0,14,0,0,0,0,0.062033000000000005,30,0.200000,2,3,0,0
246,231,1,0,13,0,0,0,0,0.06257900000000005,30,0.150000,5,4,0,0
255,240,1,0,13,0,0,0,0,0.06198899999999996,40,0.100000,5,4,0,0
246,231,1,0,13,0,0,0,0,0.06256600000000001,70,0.150000,2,5,0,0
247,232,1,0,13,0,0,0,0,0.062383999999999995,40,0.200000,3,5,0,0
245,230,1,0,13,0,0,0,0,0.06254800000000005,30,0.050000,4,3,0,0
257,241,1,0,14,0,0,0,0,0.06206800000000001,60,0.250000,5,2,0,0
250,235,1,0,13,0,0,0,0,0.06228,90,0.150000,1,2,0,0
249,233,1,0,14,0,0,0,0,0.06248900000000002,20,0.150000,5,4,0,0
247,232,1,0,13,0,0,0,0,0.062419,20,0.050000,2,5,0,0
245,230,1,0,13,0,0,0,0,0.06260500000000002,20,0.150000,3,3,0,0
268,252,1,0,14,0,0,0,0,0.06179299999999999,70,0.250000,4,2,0,0
247,232,1,0,13,0,0,0,0,0.06250999999999995,60,0.100000,1,5,0,0
246,231,1,0,13,0,0,0,0,0.06259899999999996,100,0.100000,5,1,0,0
